created_at;text;sentiment;sentiment_polarity;source;context_annotations;geo;name;username;location;verified
2022-06-30 23:59:53+00:00;"@codingfess Kalo OOP gue saranin belajarnya dari Java sih, tapi sebenernye yang penting itu konsep nya dapet dulu sih.

Soalnye gue belajar JS, dan abis itu belajar paradigma OOP dari JS &amp; PHP.
Tapi prefer yang efektif sih Java ya";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter Web App;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '898659750950207489', 'name': 'JavaScript', 'description': 'JavaScript'}}];;Fathan | fmgono.dev;fmgono;Jakarta;False
2022-06-30 23:59:40+00:00;"RT @badoukoukoku: @lan_java 日本の価値観は古い、海外では軍事政権が倒れた後により先鋭化した政権が現れるのはよくある事。価値観のアップデートが求められる
#中南米阿弗利加出羽守";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;🔱💛meteor💙🌻;star_3975;江戸川区/自由惑星同盟アルレスハイム王冠共和国クラカウ市;False
2022-06-30 23:59:29+00:00;@MitchKelly01 @java_warrior @iamjlford @kashmirigirl_ Bro you're balding too wtf. 🤣🤣 I love this app.;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Kyle Gus;BumpyKnuckles94;South Hill, WA;False
2022-06-30 23:59:27+00:00;RT @CornerHardMC: We have a new FAQ on the Java Chat Reporting feature, which will hopefully clarify what is and is not part of Chat Report…;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Corey;vauceixzet1;;False
2022-06-30 23:59:26+00:00;@unafuentesita he programado C++ y java, la neta java es más fácil siento yo;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for iPhone;[];;andy‘ samu;ibiyinmati;mati alvarez ૭ rivers;False
2022-06-30 23:58:50+00:00;RT @Java_jigga: @semiopath 2017 Weekend Lyrics: driving away from Omelas in the Benz truck… baby call up your friends let’s all fuck  [Tron…;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for iPhone;[];;Jack Black strategy pack;lizardkingfe;he/they area ;False
2022-06-30 23:58:30+00:00;"RT @AluraOnline: Ela chegou! Aquela que é a mais pedida por vocês: A Imersão Java! 😱💥🚨☕✨

A primeiríssima #ImersãoJava já está com as inscr…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;for i in range (n):;GeorgeLimaBR;João Pessoa - PB / Brasil;False
2022-06-30 23:58:22+00:00;@Tracy35906640 We are so sorry for your loss. I just amazion what mama would be like without me. She loves ❤️ me so much. Java 🐕🐾 https://t.co/kirlXt3vjW;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;V Viewpoint;ladyvviewpoint;Georgia, USA;False
2022-06-30 23:58:02+00:00;"CursorTek is #selling #bulk #data of 3k plus #categories like:

#plumbing #electricians #contractors #architect #dentists #realtors #leads #HVAC #restaurants #hotels #roofing #flooring #daycare #gym #yoga #automotive #python #scrapy #java #php #emailslist

https://t.co/aZD1HpqhRm https://t.co/YQWsoNy4sl";Sentiment(polarity=0.0, subjectivity=0.0);0.0;CursorTek Tweet Automation;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '848921413196984320', 'name': 'Computer programming', 'description': 'Computer programming'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '930484568305541120', 'name': 'Data science', 'description': 'Data Science'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1245072588952334336', 'name': 'Oral care'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839544211036749824', 'name': 'Architecture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847872878041219072', 'name': 'Fitness', 'description': 'Exercise and fitness'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '848921413196984320', 'name': 'Computer programming', 'description': 'Computer programming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '917479016617017345', 'name': 'Yoga', 'description': 'Yoga'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1278093262406815744', 'name': 'Fields of study'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1357506193879486469', 'name': 'Python'}}, {'domain': {'id': '162', 'name': 'Exercise & fitness', 'description': 'for types of exercises& fitness and moves, e.g., yoga, crunches, squats '}, 'entity': {'id': '917479016617017345', 'name': 'Yoga', 'description': 'Yoga'}}, {'domain': {'id': '164', 'name': 'Fields of study', 'description': 'for all fields of study, e.g., futurology, microbiology '}, 'entity': {'id': '1278093262406815744', 'name': 'Fields of study'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847868745150119936', 'name': 'Family & relationships', 'description': 'Hobbies and interests'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '864925500627484672', 'name': 'Family and life stages', 'description': 'Family and Life Stages'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847872878041219072', 'name': 'Fitness', 'description': 'Exercise and fitness'}}, {'domain': {'id': '162', 'name': 'Exercise & fitness', 'description': 'for types of exercises& fitness and moves, e.g., yoga, crunches, squats '}, 'entity': {'id': '872554146750017536', 'name': 'Exercises', 'description': 'Exercises'}}];;cursortek;cursortek;Faisalabad, Pakistan;False
2022-06-30 23:57:57+00:00;RT @LUHE_Daniel: https://t.co/v5C90Rx1bu #curso #online de introducción a #programación con #Clojure a 12.99€ hasta el 10 de #julio #clojur…;Sentiment(polarity=0.0, subjectivity=0.0);0.0;FRCRetweets;[];;FRC Retweets;FRCretweets;;False
2022-06-30 23:57:55+00:00;RT @LUHE_Daniel: https://t.co/v5C90Rx1bu #curso #online de introducción a #programación con #Clojure a 12.99€ hasta el 10 de #julio #clojur…;Sentiment(polarity=0.0, subjectivity=0.0);0.0;mbGreenhouse_1;[];;Microbit_greenhouse;MicrobitG;;False
2022-06-30 23:57:39+00:00;"RT @Stanievotando: @broersvotando Java
#PremiosMTVMIAW
#MTVLAPAREJAJUANARI
#MTVLASTREAMERJUAN 
#MTVLACOLABJUANAURONIBAI
#MTVLASTYLERDARIAN…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1380164970436911105', 'name': 'Juan S Guarnizo'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1536351127486070786', 'name': 'Darian Rojas'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1296501479021244416', 'name': 'MTV Miaw'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1529213232916795392', 'name': 'Los Premios MTV MIAW 2022'}}, {'domain': {'id': '118', 'name': 'Award Show', 'description': 'Award shows, like the Oscars, Grammys, or VMAs'}, 'entity': {'id': '1296501479021244416', 'name': 'MTV Miaw'}}, {'domain': {'id': '118', 'name': 'Award Show', 'description': 'Award shows, like the Oscars, Grammys, or VMAs'}, 'entity': {'id': '1529213232916795392', 'name': 'Los Premios MTV MIAW 2022'}}, {'domain': {'id': '120', 'name': 'Digital Creator', 'description': 'Influencers who create content on digital platforms'}, 'entity': {'id': '1380164970436911105', 'name': 'Juan S Guarnizo'}}, {'domain': {'id': '120', 'name': 'Digital Creator', 'description': 'Influencers who create content on digital platforms'}, 'entity': {'id': '1536351127486070786', 'name': 'Darian Rojas'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839543456678596608', 'name': 'Digital creators'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1286400579602796544', 'name': 'Entertainment events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1286400936550608896', 'name': 'Music events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1287879055191052288', 'name': 'Gaming content creators'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1293615037932646400', 'name': 'YouTubers'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1293615080622272512', 'name': 'Twitch streamers'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1296501479021244416', 'name': 'MTV Miaw'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1380164970436911105', 'name': 'Juan S Guarnizo'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1436053202835689485', 'name': 'Events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1536351127486070786', 'name': 'Darian Rojas'}}];;kat;katvys;;False
2022-06-30 23:57:30+00:00;Simak! Prakiraan Cuaca Yogyakarta Awal Juli, Cerah Merata https://t.co/UqOJjrAQm6;Sentiment(polarity=0.0, subjectivity=0.0);0.0;WordPress.com;[];;java zie;Zyanpatra;indo;False
2022-06-30 23:57:27+00:00;@Java_jigga @laurenboebert I got faith in this one chief 🫡;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1278290678099763200', 'name': 'Lauren Boebert'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1278290678099763200', 'name': 'Lauren Boebert'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1278290678099763200', 'name': 'Lauren Boebert'}}];;🚩🏴Ignazio Navarrette🏴🚩;One_Post_A_Day_;;False
2022-06-30 23:57:24+00:00;"RT @CrownedHead06: Count no of vowels in a sentence in CPP ...
#AI #DataSecurity #CPP #dataScientist #DataAnalytics  #Reactjs #IoT #flutter…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Periscope Is Lit;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '898673391980261376', 'name': 'Web development', 'description': 'Web Development'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '930484568305541120', 'name': 'Data science', 'description': 'Data Science'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1047123725525479425', 'name': 'Information security', 'description': 'Information Security'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '848921413196984320', 'name': 'Computer programming', 'description': 'Computer programming'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '898673391980261376', 'name': 'Web development', 'description': 'Web Development'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1047123725525479425', 'name': 'Information security', 'description': 'Information Security'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1088443224425807872', 'name': 'Information Privacy Worldwide', 'description': 'Information Privacy'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '898657691010191360', 'name': 'Internet of things', 'description': 'Internet of Things'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '898659750950207489', 'name': 'JavaScript', 'description': 'JavaScript'}}];;Periscope Is Lit;periscopeislit;;False
2022-06-30 23:57:24+00:00;"RT @SusiCici1: #GoodMorning    #Twitterfriends
               #HappyTuesday
            Have a beautiful day
             Life with Happine…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[{'domain': {'id': '109', 'name': 'Reoccurring Trends', 'description': 'Twitter generated Trends that occur on a daily, weekly, monthly, or yearly basis'}, 'entity': {'id': '913874788803678208', 'name': '#HappyTuesday', 'description': '#HappyTuesday'}}];;Rivin;Rivin84452214;BSD Tangerang, Indonesia;False
2022-06-30 23:57:22+00:00;"RT @JavaInMySights: ""Which will it be? Fashion or java? I could go either way.""
☕Not new to verse.
☕IC/Crack.
☕Ships with Velvet or Chem. L…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter Web App;[];;ＹＡＮＧ！！;PUNshmnt;;False
2022-06-30 23:57:03+00:00;"❗ランキング：40位❗(マザーボード)

「マザーボード B550M AORUS PRO-P B550M-AORUS-PRO-P」
メーカ:GIGABYTE

価格:¥14,281✨
🔥売り切れ間近🔥(08:57)

https://t.co/I9DlSAxthV";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Lightrankin;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games - Entertainment'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1232796998157209600', 'name': 'GIGABYTE'}}];;ひかりTVパソコン機器ランキング;Nvo1tQbwYQw8Msd;;False
2022-06-30 23:57:03+00:00;"RT @SusiCici1: Good Morning Twitter Friends
Happy Friday and Happy weekend 
Have a Peaceful day 💫🤍💫

Ijan Crater in Java Island - Indonesia…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[{'domain': {'id': '109', 'name': 'Reoccurring Trends', 'description': 'Twitter generated Trends that occur on a daily, weekly, monthly, or yearly basis'}, 'entity': {'id': '913872208669302784', 'name': '#HappyFriday', 'description': '#HappyFriday'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}];;Zaky;inakigarro;Concepción del Uruguay;False
2022-06-30 23:56:48+00:00;Yendo curso nuevo de Java!;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter Web App;[];;Developer Bot 🤖;GoaiDev;Indien;False
2022-06-30 23:56:35+00:00;RT @first_issues: As IDEM I only want users to only associate documents with certain claim so they cannot associate irrelevant claim https:…;Sentiment(polarity=0.0, subjectivity=0.0);0.0;goaidev.com;[];;First Issues Bot;first_issues;127.0.0.1;False
