created_at;text;sentiment;sentiment_polarity;source;context_annotations;geo;name;username;location;verified
2022-06-30 23:59:27+00:00;"🥺💔🥀💫

Kaash Koi Apna Hota Bina Kisi
Matlab Ke.....🙂";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Talha❤️🦋;Legend_Talhax;;False
2022-06-30 23:56:35+00:00;"RT @legit_writers1: Are you seeking to pay somebody to handle your:-
~Anatomy
~Chemistry
~Physics
~Thesis
~Biology
~Geography
~Assignment
~…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for iPhone;[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}];;Chloe;legit_writers1;Texas, USA;False
2022-06-30 23:55:56+00:00;@idineshdesai are bhai koi karan hai kya uska?kya govt act nahi kar rahi? kya koi sunwaii nahi ho rahi? sab ho raha hai, NIA pahuch chuki, to kya matlab hai phir. tum jaise log iska issue banana chahte hain, is se bollywood ko kya matlab? unke pas kaam hai karne ko.;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter Web App;[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839544274442051584', 'name': 'Entertainment'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1292818305992949761', 'name': 'Bollywood'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1360327768957804546', 'name': 'Indian film industry'}}];;Thinkinape;thinkinape;;False
2022-06-30 23:55:47+00:00;@shakkarbaba Spotify daalnay ka matlab ye hai ke tumharay mama papa dhilate Nahi hain tumhein;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597222535168', 'name': 'Online Services - Entertainment'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040276669', 'name': 'Spotify'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1288826829634035714', 'name': 'Backstage'}}, {'domain': {'id': '89', 'name': 'Music Album', 'description': 'A music album like The Dark Side of the Moon'}, 'entity': {'id': '1017792599459954688', 'name': 'Ye (Kanye West)', 'description': 'Ye (Kanye West)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '10040276669', 'name': 'Spotify'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1196457934370172928', 'name': 'Music industry'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1405172481590140933', 'name': 'Music streaming service'}}]";;Abdullah Jawed;Abdullahl_l_;Karachi, Pakistan;False
2022-06-30 23:55:41+00:00;"@MillatHindi Kattarpanti ka virodh to thik hai par tum jo a kahrahe ho "" jab mulle Kate jayenge, ram ram chillayenge"" a kattarpanti nahi hai?
Matlab tumhari kattarpanthi thik hai!??";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Rahman;ZaidurR04867054;;False
2022-06-30 23:53:12+00:00;Procesamiento de imágenes en matlab🌺 https://t.co/xOqNZj3drT;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Paula🦋;pausoficv;;False
2022-06-30 23:53:11+00:00;RT @sid_s_anand: @aakhramka @cretiredroy Matlab agar radius L hota to ye pilla hota??;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Varun Chaturvedi;vcmintu;Gurgaon;False
2022-06-30 23:50:07+00:00;RT @muskan59001459: Matlab yr jra si bhi Sharm bhi aa rhi kya aapko...saale khud bimar ho jaao to doctor ke paas aane me 1 second nhi lgate…;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;muskan;muskan59001459;;False
2022-06-30 23:46:51+00:00;@MillatHindi Koi Matlab nhi h bhai is bat bat ka Khali name bazi kro🤣;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Arfat Ahmad;ArfatAh88426997;;False
2022-06-30 23:46:06+00:00;RT @AgWaterCenter: Do you have experience with MATLAB? The Kisekka lab is seeking a student with MATLAB experience to develop an applicatio…;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for iPhone;[];;Dr. Cristina Lazcano;CristinaLazcan0;;False
2022-06-30 23:44:53+00:00;Matlab yr jra si bhi Sharm bhi aa rhi kya aapko...saale khud bimar ho jaao to doctor ke paas aane me 1 second nhi lgate or jo hum itni mehnat kr ke doctor ban rhe h uska kuch tention nhi h aapko...har din stress se gujrta hai....aapko ye sab mjaak lg rha h na#MODIJIextendNEETUG;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;Mehak 🌹 HBD Ammara;iammahheki;;False
2022-06-30 23:43:53+00:00;@s_me78 husband k  hain aur beopari ka pata nai, agar bura matlab tw ap khud ho gay;Sentiment(polarity=0.4166666666666667, subjectivity=0.5833333333333334);0.4166666666666667;Twitter for Android;[];;Rohit Chadha;chadha1512;;False
